ticker,signal_date,entry_date,ret_pct,win,idx_above_40wma,idx_off_52wk_high,idx_13wk_ret,idx_52wk_ret,idx_weeks_above_40wma,breadth,mrs,pct_above_ma30,ma30_slope_pct,pct_off_52wk_high,pct_above_52wk_low,vol_surge_x,prior_52wk_ret,weeks_above_ma30,mcap_cr,price,candle_bullish,candle_body_pct,candle_range_pct,range_expansion_x,close_position,body_share_of_range,gap_pct,weeks_listed,listing_censored,ma_break_week
FINCABLES.NS,2017-08-14,2017-08-21,8.45,False,True,-2.27,4.34,13.51,32,34,0.357,6.83,2.23,-4.02,34.8,1.22,20.9,2,7329.0,480.15,True,3.74,6.59,1.0,0.726,0.573,2.21,134,True,30
FINCABLES.NS,2020-12-07,2020-12-14,54.83,True,True,0.0,17.88,11.81,22,65,0.246,29.0,4.88,-13.0,94.13,1.99,2.52,18,5241.0,343.33,True,4.04,7.67,1.24,0.767,0.537,1.0,307,True,44
FINCABLES.NS,2022-09-05,2022-09-12,131.0,True,True,-2.75,10.07,2.67,7,79,0.242,18.27,-1.2,-17.84,33.78,1.43,-1.62,7,7102.0,465.3,True,3.75,7.8,1.24,0.652,0.487,1.19,398,True,-1
FINCABLES.NS,2024-05-20,2024-05-27,-25.44,False,True,0.0,3.35,24.1,57,35,1.586,26.85,1.8,0.0,62.29,6.6,53.08,5,19284.0,1263.4,True,21.53,31.47,4.57,0.753,0.696,0.1,487,True,19
FINEORG.NS,2019-06-24,2019-07-01,31.21,False,True,-1.12,1.42,10.03,17,39,1.705,12.19,3.26,-7.65,91.19,2.77,,23,4273.0,1397.9,True,4.6,10.11,1.31,0.796,0.47,-0.25,51,False,37
FINEORG.NS,2020-11-09,2020-11-16,38.67,False,True,0.0,13.79,6.93,18,25,0.133,12.68,3.71,-10.18,42.4,0.53,32.65,16,7757.0,2537.93,True,4.93,7.77,0.74,0.808,0.643,1.01,123,False,9
FINEORG.NS,2024-07-01,2024-07-08,-3.6,False,True,0.0,8.04,25.82,63,88,0.205,18.85,1.81,0.0,32.41,3.61,11.32,7,16230.0,5309.97,True,8.7,10.37,2.32,0.841,0.84,0.51,313,False,15
FINEORG.NS,2025-07-07,2025-07-14,-1.68,False,True,-3.93,10.17,2.64,12,140,0.604,18.53,-0.53,-6.37,47.19,0.76,-3.4,9,15693.0,5134.16,False,-2.12,6.98,1.02,0.445,0.32,-0.02,366,False,13
FINOPB.NS,2023-07-03,2023-07-10,11.23,False,True,0.0,9.85,19.18,11,41,1.108,21.42,1.57,0.0,47.94,1.56,9.85,3,2113.0,276.65,True,4.44,10.73,1.62,0.871,0.433,1.79,86,False,17
FINOPB.NS,2024-08-05,2024-08-12,-30.15,False,True,-1.88,10.48,25.42,68,86,0.55,19.61,2.02,-2.03,40.77,2.58,0.68,3,2751.0,360.15,True,7.2,19.1,2.42,0.437,0.381,0.03,143,False,13
FINPIPE.NS,2017-11-27,2017-12-04,-18.6,False,True,-3.16,1.48,25.16,47,50,0.466,2.15,1.92,-13.26,56.01,1.09,52.28,1,6788.0,111.62,True,2.13,7.88,1.09,0.397,0.273,0.75,149,True,0
FINPIPE.NS,2019-07-29,2019-08-05,-10.14,False,False,-7.76,-6.1,-3.2,0,19,0.211,4.55,-0.51,-16.04,16.36,1.02,-9.55,7,5621.0,92.44,True,0.72,6.33,1.25,0.562,0.118,0.51,236,True,27
FINPIPE.NS,2020-09-14,2020-09-21,81.28,True,True,-6.86,12.3,2.05,10,47,0.38,19.7,-0.74,-9.91,46.18,1.07,-5.36,5,6085.0,100.07,True,4.85,7.5,1.05,0.832,0.654,2.41,295,True,-1
FINPIPE.NS,2022-12-05,2022-12-12,23.05,False,True,-1.07,3.72,5.63,20,68,0.468,19.88,1.54,-14.59,33.18,2.72,-13.76,6,10128.0,166.55,True,4.78,10.98,1.69,0.468,0.437,0.43,411,True,25
FINPIPE.NS,2024-01-01,2024-01-08,-8.74,False,True,-0.09,10.47,21.56,37,88,0.869,15.07,2.78,-4.31,47.12,2.3,33.85,8,14081.0,231.56,True,12.22,15.77,2.02,0.919,0.791,0.24,467,True,6
FIVESTAR.NS,2023-11-13,2023-11-20,-22.36,False,True,-2.28,2.18,7.78,30,51,2.135,19.07,4.83,-0.64,57.03,0.48,,23,23807.0,799.17,True,2.29,6.13,0.77,0.812,0.384,-0.3,51,False,4
FIVESTAR.NS,2024-12-16,2024-12-23,-27.8,False,False,-9.9,-8.54,10.48,0,52,0.243,1.82,-1.05,-13.74,24.33,2.18,11.25,1,22695.0,761.83,True,17.14,22.15,2.42,0.876,0.789,0.96,108,False,2
FLAIR.NS,2024-12-09,2024-12-16,-7.9,False,True,-5.39,-2.32,15.43,4,77,0.089,7.94,-0.34,-10.82,28.52,3.34,-13.57,1,3371.0,320.87,True,9.51,17.64,2.4,0.609,0.545,-0.0,54,False,2
FLFL.NS,2018-07-30,2018-08-06,4.21,False,True,0.0,6.99,12.86,18,38,0.12,3.7,1.6,-8.05,36.6,0.29,35.66,1,8457.0,422.64,True,4.6,7.45,0.86,0.839,0.628,0.0,184,True,4
