ticker,signal_date,entry_date,entry,scoreable,fixed_exit_date,fixed_ret_pct,fixed_net_pct,ma_exit_date,ma_exit_reason,ma_weeks_held,ma_ret_pct,ma_net_pct
APOLLOHOSP.NS,2022-11-21,2022-11-28,4715.29,True,2023-11-27,17.81,17.51,2023-01-16,ma_break,7,-8.33,-8.63
APOLLOHOSP.NS,2025-06-09,2025-06-16,6992.26,True,2026-06-15,21.41,21.11,2025-11-24,ma_break,23,5.68,5.38
APOLLOPIPE.NS,2022-04-11,2022-04-18,595.54,True,2023-04-17,-0.05,-0.35,2022-05-09,ma_break,3,-10.0,-10.3
APOLLOPIPE.NS,2024-01-22,2024-01-29,740.91,True,2025-01-27,-41.27,-41.57,2024-02-05,ma_break,1,-8.54,-8.84
APOLLOTYRE.NS,2018-02-05,2018-02-12,239.21,True,2019-02-11,-25.53,-25.83,2018-06-04,ma_break,16,-1.12,-1.42
APOLLOTYRE.NS,2022-05-16,2022-05-23,205.07,True,2023-05-22,82.91,82.61,2022-06-13,ma_break,3,-7.38,-7.68
APOLLOTYRE.NS,2024-06-17,2024-06-24,483.91,True,2025-06-23,-9.68,-9.98,2024-08-12,ma_break,7,-0.7,-1.0
APOLLOTYRE.NS,2025-09-01,2025-09-08,478.86,False,2026-08-10,-7.04,-7.34,2026-02-23,ma_break,24,-4.96,-5.26
APTUS.NS,2022-08-22,2022-08-29,312.97,True,2023-08-28,-17.88,-18.18,2022-10-03,ma_break,5,-6.8,-7.1
APTUS.NS,2023-11-27,2023-12-04,288.22,True,2024-12-02,10.21,9.91,2024-04-01,ma_break,17,5.19,4.89
APTUS.NS,2025-04-21,2025-04-28,319.02,True,2026-04-27,-19.21,-19.51,2025-09-01,ma_break,18,-1.78,-2.08
APTUS.NS,2026-05-04,2026-05-11,282.8,False,2026-08-10,-9.92,-10.22,2026-08-10,52w_cap,13,-9.92,-10.22
AQYLON.NS,2025-11-17,2025-11-24,1314.3,False,2026-08-10,-98.16,-98.46,2026-01-05,ma_break,6,-86.88,-87.18
